trial,policy,n_robots,n_tasks,total_distance,makespan
19,fifo,3,10,60.655854142957075,23.963931092399477
19,auction,3,10,32.84055668596868,11.944905877942507
20,fifo,3,9,35.67531283745978,12.574916916702442
20,auction,3,9,27.91871660765206,14.006745162723972
21,fifo,3,11,60.91877427499483,23.25220016420118
21,auction,3,11,31.89944765517197,12.435906902071734
22,fifo,4,10,55.104297562650686,16.52163372083391
22,auction,4,10,31.925421063182043,10.17661357306986
23,fifo,3,24,112.348697720047,38.87920218602397
23,auction,3,24,52.911411616945,20.994494567195044
24,fifo,4,7,30.50857851316085,8.719599570516344
24,auction,4,7,26.49704945470182,10.608763768632265
25,fifo,6,7,45.2067639523481,10.434278474137741
25,auction,6,7,18.90077299855592,5.629465306291461
26,fifo,5,24,134.16681392339942,31.540180467503816
26,auction,5,24,54.38013830247931,11.71631167875401
27,fifo,3,23,120.09400365486994,41.48646116429092
27,auction,3,23,64.02716721854038,22.49482119275754
28,fifo,4,23,111.88416400956703,30.45004562848937
28,auction,4,23,56.006536530464764,18.362298681056146
29,fifo,4,23,139.1628468484288,37.08781771952784
29,auction,4,23,51.24593254744082,13.543371486903137
30,fifo,4,14,78.00073089693738,22.442284009357905
30,auction,4,14,39.74637982327782,13.237076926252264
31,fifo,4,20,103.47332224776133,27.21949589406525
31,auction,4,20,44.506404294084035,13.16072288407349
32,fifo,5,22,117.30284072919143,25.439626801961726
32,auction,5,22,31.978081727566984,7.901238567969022
33,fifo,6,7,28.093542736308414,11.315010598315334
33,auction,6,7,17.438687452170825,6.967259764048955
34,fifo,5,21,103.06600102661696,24.50388693469995
34,auction,5,21,57.31356434887571,11.928876532533701
35,fifo,5,14,81.24244127597822,20.58739709791459
35,auction,5,14,42.46819845266996,12.559580151319302
36,fifo,5,15,93.61153238100597,23.480921440230482
36,auction,5,15,36.77121694190918,8.453721071080217
37,fifo,4,15,81.25193847944259,23.03020399161613
37,auction,4,15,30.700778567377554,8.01439525065034
38,fifo,6,13,65.42884424672411,15.240922123667165
38,auction,6,13,38.25343071576546,11.914859801347031
39,fifo,5,10,44.014809700352195,10.581728803810414
39,auction,5,10,19.091375532362353,4.766722397440134
40,fifo,5,9,55.547193570613054,12.777334381961069
40,auction,5,9,28.256240709117048,10.34391712120167
41,fifo,5,9,57.05157420693018,16.378287663050983
41,auction,5,9,19.452507263747442,6.131472986373705
42,fifo,4,9,48.81037562529746,16.39289524468052
42,auction,4,9,23.234021640052653,7.539017701275399
43,fifo,5,22,121.20166491379769,27.52558993911985
43,auction,5,22,55.41506966623123,17.283742206420307
44,fifo,4,15,73.32441726306331,20.974018202314333
44,auction,4,15,26.853468670325487,9.633786950890801
45,fifo,4,6,36.99486948067515,12.645884227597755
45,auction,4,6,23.11377562871745,7.371729052393425
46,fifo,4,19,102.91970431904129,28.438098972529072
46,auction,4,19,36.68964572604803,9.978035976200177
47,fifo,4,18,91.38767738678155,26.668555262597742
47,auction,4,18,45.73585652102424,16.212482816467904
48,fifo,4,20,90.6972286464143,24.472636819936636
48,auction,4,20,51.934804848558876,15.695954477130948
49,fifo,4,8,35.8849634280143,13.709656024430187
49,auction,4,8,26.980161554143713,9.43713940281236
50,fifo,5,23,119.14488915237462,26.34808616440047
50,auction,5,23,63.58194450362899,15.86132175780763
51,fifo,5,15,72.94080050794763,17.642565785622352
51,auction,5,15,27.371463907726103,7.8199656141784954
52,fifo,3,5,18.905594890412154,8.60658093152589
52,auction,3,5,19.293538666718142,10.641424315134266
53,fifo,3,12,77.12609044126403,27.817486552881515
53,auction,3,12,48.846930551758035,18.177317870174136
54,fifo,3,7,45.29958454550727,17.54085301314264
54,auction,3,7,28.434579791664945,12.006973752742198
55,fifo,3,5,15.846458038210393,6.673720601627096
55,auction,3,5,13.296275752212757,6.569194124049257
56,fifo,5,5,27.045524048546294,7.4678347740065005
56,auction,5,5,20.042274591127864,9.280256487900314
57,fifo,4,5,24.732740021581115,8.389027569145709
57,auction,4,5,20.718310865282753,9.559369724121808
58,fifo,6,11,60.3999904379172,14.058617556936479
58,auction,6,11,41.73187361544122,7.840018861434694
59,fifo,4,10,65.44045882086884,19.761793291145487
59,auction,4,10,23.905492075987496,11.321772325473415
60,fifo,4,7,32.73977866158876,10.681450478095643
60,auction,4,7,18.019956452378306,5.769079850334765
61,fifo,4,8,36.94575722031263,11.711411238489944
61,auction,4,8,25.359672892720646,9.598514877441392
62,fifo,4,12,64.98997548877998,19.363750387856697
62,auction,4,12,42.92723997557169,15.994833410379481
63,fifo,3,8,45.57494884113124,15.704676142512636
63,auction,3,8,22.80801600364815,8.593789923348698
64,fifo,6,13,75.39874088670743,18.715001815522065
64,auction,6,13,40.515886002322205,11.040930471025826
65,fifo,6,10,48.59368451428477,10.157498527021424
65,auction,6,10,25.083883698842204,6.598811027371734
66,fifo,6,22,121.68363140200493,23.336332547630835
66,auction,6,22,45.08373568916605,10.171325642003477
67,fifo,4,11,46.32846239904114,13.324405394267062
67,auction,4,11,28.770677907826204,10.301489468686343
68,fifo,3,9,42.13491796375479,15.872829664582369
68,auction,3,9,31.037762572673287,14.616439484923657
69,fifo,6,17,107.17653690381674,23.725711574218433
69,auction,6,17,49.76109337389679,15.548523550178734
70,fifo,3,20,105.59393191932162,35.48818075626064
70,auction,3,20,37.78975734112883,18.60526196251672
71,fifo,5,8,41.34497763121518,12.247151958134545
71,auction,5,8,25.234118047924394,8.3225718041356
72,fifo,4,22,108.94612540494103,29.366945886285833
72,auction,4,22,47.50470288171117,14.88538028631346
73,fifo,5,9,39.30669458244544,11.589496460019298
73,auction,5,9,19.160335103008386,6.839430284695833
74,fifo,3,22,112.08838064592614,38.64410175354654
74,auction,3,22,45.99490292906847,17.77394910658517
75,fifo,3,20,102.71119451728592,35.08922352783649
75,auction,3,20,44.29231094313831,15.358592604039751
76,fifo,5,21,112.68554228346379,27.265729251957797
76,auction,5,21,55.84552684636465,13.17780295954912
77,fifo,6,9,40.53878181084627,9.497406993808234
77,auction,6,9,22.11706499253928,5.81029493997687
78,fifo,6,7,44.377365870039945,10.810675311485255
78,auction,6,7,34.088083249361524,11.02491349035697
79,fifo,4,23,134.29243739554101,34.87078605753936
79,auction,4,23,54.91851126280646,20.20820425237526
80,fifo,5,8,35.85157154166775,9.110784604634695
80,auction,5,8,21.505245059929326,6.764055428589599
81,fifo,5,17,67.89335045678378,20.087577094472856
81,auction,5,17,49.2711684870325,15.123404407570312
82,fifo,3,17,87.26916063388003,30.601361694419563
82,auction,3,17,36.913910572383806,15.320925488652346
83,fifo,3,13,70.31322449008273,26.5281110763609
83,auction,3,13,39.58306041409519,15.741598717695105
84,fifo,3,24,120.79946810495046,42.60070192656279
84,auction,3,24,47.840966091418316,17.421144754687298
85,fifo,6,6,31.804720205861706,9.276422400664586
85,auction,6,6,22.431020207284327,8.046597735363763
86,fifo,6,14,75.91786068418554,18.107320737201544
86,auction,6,14,41.28540477466344,12.088101470987308
87,fifo,4,18,77.60508155794712,21.564411016722445
87,auction,4,18,31.910899272791795,10.8550029340959
88,fifo,4,24,149.51510706169242,38.720269301461656
88,auction,4,24,42.11000431939631,10.800517834854908
89,fifo,3,21,100.28503852028642,34.13478229263442
89,auction,3,21,36.541280218318256,16.510286030511747
90,fifo,4,15,75.55628380764104,22.62190753415117
90,auction,4,15,45.256540398016746,12.97420814261698
91,fifo,5,6,25.525883240916958,8.67460731184978
91,auction,5,6,13.319585423706835,3.57185527119084
92,fifo,6,11,58.797565611591,11.47457580189311
92,auction,6,11,36.316746785272564,9.380385230294372
93,fifo,5,13,55.67964369494491,12.971751158600167
93,auction,5,13,30.490238838980382,8.081707733901979
94,fifo,5,18,107.74532154124908,24.025021052167034
94,auction,5,18,53.07659866284788,12.516417063855531
95,fifo,3,20,102.69485586772942,37.89190745227068
95,auction,3,20,60.80571846299179,24.902179678640238
96,fifo,3,15,67.73608913846408,25.869994925166765
96,auction,3,15,36.803343089618664,14.146232368695745
97,fifo,5,15,74.22424933114378,16.22568176385921
97,auction,5,15,35.82138959772074,10.629422018718722
98,fifo,3,19,101.89661048084032,35.06201976993761
98,auction,3,19,42.735240468325806,15.724289448248033
99,fifo,6,20,99.83874664313004,19.768406440594934
99,auction,6,20,50.46158851830072,12.337190577562978
100,fifo,6,20,97.72636656030332,20.61504139172351
100,auction,6,20,53.16929489733328,12.85794183835285
101,fifo,4,17,73.05261608850513,22.795800153032445
101,auction,4,17,38.505868306690125,13.277555947893935
102,fifo,5,24,115.21212230365201,24.955023709544978
102,auction,5,24,46.673787387858226,13.822475380994971
103,fifo,5,5,33.088762156421,8.498657232717864
103,auction,5,5,19.062328733045135,7.655228279975749
104,fifo,3,6,24.093304261304386,9.724281341028401
104,auction,3,6,19.09782813704347,8.53497112890887
105,fifo,5,8,31.624325563060573,8.924620404429668
105,auction,5,8,35.48292084551623,14.591350642652923
106,fifo,5,19,84.21944566311976,18.641330848779678
106,auction,5,19,57.87425939860397,12.628343071439309
107,fifo,3,19,88.28856510110454,31.891994922518254
107,auction,3,19,42.79279617531493,15.640353814355457
108,fifo,3,9,36.798514011886,13.552346282202059
108,auction,3,9,21.570352009197208,9.380412671352815
109,fifo,5,14,57.87641911013635,14.919312066952253
109,auction,5,14,36.5638951151431,8.917055367248043
110,fifo,5,14,73.89306050819287,17.99970541964322
110,auction,5,14,35.46302159078021,9.735346654008037
111,fifo,3,22,111.42019510343837,38.856187420839476
111,auction,3,22,42.05315802624856,15.182673706386373
112,fifo,6,8,38.91759438459917,10.660023779869361
112,auction,6,8,22.951391672540918,5.904556359253363
113,fifo,6,22,118.73868338849887,23.43931660245357
113,auction,6,22,59.38861906826817,17.632162193626087
114,fifo,3,21,113.25304124556055,39.20677843554692
114,auction,3,21,46.79889191763419,18.05156041070588
115,fifo,3,14,68.77655704561613,25.714177096602583
115,auction,3,14,36.041357386312605,17.94634189412115
116,fifo,4,5,25.71434356757808,10.888332518483118
116,auction,4,5,18.4651249894559,7.328369773470658
117,fifo,4,9,39.89217047126464,15.682162670709427
117,auction,4,9,23.139068530267263,8.657121350826941
118,fifo,5,8,41.110427535777674,10.104253328503898
118,auction,5,8,26.554052832067743,10.03833728419034
119,fifo,6,22,102.68150838065196,19.37840635606283
119,auction,6,22,40.191148031194516,11.548329596537918
120,fifo,3,19,90.48339588830746,32.45092296522655
120,auction,3,19,35.18571028844894,12.510427934226085
121,fifo,3,9,38.62619217965425,14.820942521974656
121,auction,3,9,25.637627810341016,11.439425164979982
122,fifo,5,13,64.92606208303734,15.730604563638163
122,auction,5,13,35.457772146482576,13.741923150151685
123,fifo,6,22,111.67874298327044,22.772934941834972
123,auction,6,22,60.01922910009236,13.0414657303204
124,fifo,4,17,93.05816490038704,26.92867477293192
124,auction,4,17,31.826155185338195,9.14091462190073
125,fifo,3,15,96.19271853602334,35.71634908730121
125,auction,3,15,56.215269480661256,24.09263574253672
126,fifo,6,10,36.86406575909015,8.255606009213226
126,auction,6,10,19.590916212686423,5.488342250058055
127,fifo,4,13,75.15681786069973,20.85791903887086
127,auction,4,13,43.97911861354412,14.013062240724878
128,fifo,6,15,63.9406166841933,12.349629423583938
128,auction,6,15,22.523619793207896,5.464526729309499
129,fifo,6,22,91.19449280575793,18.060884822040464
129,auction,6,22,31.638938435051703,7.195969876109404
130,fifo,3,8,42.23076369122255,16.29544987814843
130,auction,3,8,26.755955587788144,11.544613907677661
131,fifo,6,8,48.46226096128012,10.253507663334384
131,auction,6,8,29.491557614259968,9.085310891321212
132,fifo,3,9,48.172351349648316,18.561208336291806
132,auction,3,9,30.667190177695907,11.11498639098749
133,fifo,6,8,43.16544086272977,8.602185819900921
133,auction,6,8,33.58464329437375,9.22255805874417
134,fifo,6,17,73.33255896281206,16.903086700972644
134,auction,6,17,43.96403082821506,10.534851460694505
135,fifo,4,23,124.5076225728273,34.46896319070778
135,auction,4,23,51.57874483647884,13.989255958924698
136,fifo,3,7,48.80840656073744,18.853094964772737
136,auction,3,7,31.596490958663765,13.203026982913856
137,fifo,4,16,70.9171044331877,19.314944692354832
137,auction,4,16,41.79907988925395,17.36578993983388
138,fifo,6,21,106.39531301701109,22.734545419440565
138,auction,6,21,54.42278709778079,12.39635555594776
139,fifo,6,7,37.71911160684907,8.511663058195806
139,auction,6,7,25.50156734598321,8.172422752919239
140,fifo,6,11,67.07445749539374,16.37659055050746
140,auction,6,11,31.676088067814305,8.371080364150748
141,fifo,6,19,92.02914718759784,19.010688530286878
141,auction,6,19,43.554996409749904,11.014502921078675
142,fifo,4,18,101.42699741719929,28.65790884247305
